"x","y","th","k","s"
41.8043,28.1307,2.94198,-0.406707,43.4174
41.8608,28.1193,2.9188,-0.40154,43.475
41.9172,28.1065,2.89603,-0.393388,43.5328
41.9734,28.0924,2.87382,-0.382653,43.5908
42.0295,28.0771,2.85229,-0.369737,43.6489
42.0854,28.0604,2.83155,-0.355024,43.7073
42.1411,28.0426,2.81169,-0.338873,43.7658
42.1966,28.0236,2.79278,-0.321618,43.8245
42.252,28.0034,2.77489,-0.303558,43.8833
42.3071,27.9823,2.75805,-0.284959,43.9424
42.3619,27.9601,2.74229,-0.266056,44.0015
42.4166,27.9371,2.72763,-0.247056,44.0608
42.4709,27.9132,2.71406,-0.228138,44.1202
42.5251,27.8885,2.70159,-0.209459,44.1797
42.579,27.8631,2.6902,-0.191162,44.2393
42.6326,27.8371,2.67986,-0.173377,44.2989
42.686,27.8106,2.67054,-0.156227,44.3586
42.7392,27.7835,2.6622,-0.139834,44.4182
42.7921,27.756,2.65478,-0.124324,44.4779
42.8449,27.7281,2.64823,-0.109826,44.5376
42.8974,27.6998,2.64248,-0.0964823,44.5972
42.9497,27.6713,2.63745,-0.0844165,44.6568
43.0019,27.6425,2.63306,-0.0736296,44.7164
43.0539,27.6135,2.62925,-0.0640348,44.7759
43.1058,27.5843,2.62594,-0.0555479,44.8355
43.1577,27.5549,2.62307,-0.0480934,44.8951
43.2095,27.5254,2.62059,-0.0416012,44.9547
43.2613,27.4956,2.61844,-0.0360048,45.0145
43.3131,27.4657,2.61656,-0.0312381,45.0743
43.365,27.4357,2.61493,-0.0272347,45.1343
43.417,27.4054,2.61349,-0.0239267,45.1944
43.4692,27.375,2.6122,-0.0212438,45.2548
43.5215,27.3444,2.61104,-0.0191137,45.3155
43.5742,27.3135,2.60997,-0.0174625,45.3765
43.6271,27.2824,2.60897,-0.0162151,45.4379
43.6803,27.251,2.60802,-0.0152963,45.4997
43.7339,27.2193,2.60711,-0.014632,45.5619
43.7879,27.1873,2.60621,-0.0141504,45.6247
43.8424,27.155,2.60534,-0.0137831,45.6881
43.8975,27.1223,2.60447,-0.0134662,45.7521
43.953,27.0892,2.60362,-0.0131408,45.8168
44.0092,27.0557,2.60278,-0.0127566,45.8822
44.066,27.0218,2.60196,-0.0122926,45.9483
44.1234,26.9874,2.60117,-0.0117593,46.0153
44.1816,26.9525,2.6004,-0.0111718,46.0831
44.2405,26.9171,2.59967,-0.010544,46.1518
44.3001,26.8812,2.59898,-0.00988843,46.2214
44.3606,26.8447,2.59833,-0.0092164,46.292
44.4218,26.8077,2.59771,-0.00853776,46.3636
44.484,26.7701,2.59713,-0.0078612,46.4362
44.547,26.732,2.5966,-0.00719421,46.5099
44.6109,26.6932,2.59611,-0.00654319,46.5846
44.6757,26.6539,2.59566,-0.00591358,46.6605
44.7415,26.6139,2.59524,-0.00530991,46.7374
44.8083,26.5733,2.59487,-0.00473593,46.8156
44.8761,26.532,2.59454,-0.00419466,46.895
44.945,26.4901,2.59424,-0.0036885,46.9756
45.0149,26.4475,2.59397,-0.00321929,47.0574
45.0858,26.4042,2.59374,-0.00278839,47.1406
45.1579,26.3602,2.59353,-0.0023967,47.2251
45.2312,26.3155,2.59336,-0.00204477,47.3109
45.3056,26.2701,2.5932,-0.00173274,47.3981
45.3813,26.2239,2.59307,-0.00145947,47.4867
45.4581,26.1769,2.59296,-0.00122168,47.5768
45.5363,26.1291,2.59287,-0.00101567,47.6684
45.6157,26.0805,2.59279,-0.000838055,47.7615
45.6965,26.0312,2.59272,-0.000685688,47.8562
45.7786,25.9809,2.59267,-0.000555672,47.9525
45.8622,25.9298,2.59263,-0.000445325,48.0504
45.9471,25.8779,2.59259,-0.000352171,48.15
46.0335,25.825,2.59256,-0.000273929,48.2512
46.1213,25.7713,2.59254,-0.000208503,48.3542
46.2106,25.7167,2.59253,-0.000153983,48.4588
46.3013,25.6612,2.59251,-0.000108624,48.5652
46.3935,25.6048,2.59251,-7.08502e-05,48.6733
46.4872,25.5475,2.5925,-3.92359e-05,48.7831
46.5822,25.4893,2.5925,-1.24971e-05,48.8945
46.6787,25.4303,2.5925,1.05279e-05,49.0076
46.7765,25.3704,2.5925,3.08663e-05,49.1222
46.8756,25.3098,2.59251,4.94771e-05,49.2384
46.976,25.2484,2.59252,6.72233e-05,49.3561
47.0775,25.1863,2.59253,8.49053e-05,49.4751
47.1801,25.1235,2.59254,0.000103118,49.5954
47.2837,25.0601,2.59256,0.000121843,49.7169
47.3882,24.9962,2.59257,0.000140771,49.8393
47.4934,24.9318,2.59259,0.000159613,49.9627
47.5992,24.8671,2.59262,0.000178113,50.0868
47.7056,24.802,2.59264,0.000196027,50.2114
47.8122,24.7368,2.59267,0.000213105,50.3364
47.9191,24.6715,2.5927,0.000229078,50.4617
48.0259,24.6061,2.59273,0.000243638,50.587
48.1327,24.5408,2.59276,0.000256419,50.7121
